NEXT_PTS,NEXT_AST,NEXT_REB,NEXT_BLK,NEXT_STL,NEXT_TOV,NEXT_MIN,NEXT_FG3M,NEXT_FGA,NEXT_FTA,NEXT_FG_PCT,NEXT_FT_PCT
14.0,6.1,3.0,0.2,0.8,1.9,31.1,1.7,11.6,2.7,0.435,0.836
9.1,2.8,4.4,0.5,0.8,1.5,19.1,1.0,7.2,2.2,0.448,0.775
12.5,3.7,6.2,0.5,0.9,2.5,28.6,1.4,8.2,3.4,0.499,0.853
9.8,4.4,5.3,0.4,0.9,1.9,22.5,0.8,6.4,2.3,0.555,0.833
13.2,1.9,3.4,0.3,1.1,1.3,30.2,2.1,10.8,2.0,0.435,0.89
10.8,2.4,2.7,0.5,1.5,1.1,31.3,1.8,8.3,1.6,0.462,0.824
10.1,2.4,2.4,0.6,1.3,1.0,31.6,1.6,7.7,1.5,0.46,0.894
6.5,3.1,7.7,0.7,0.8,1.4,24.6,0.0,4.4,2.3,0.641,0.392
10.8,3.1,8.9,0.6,0.6,1.5,26.0,0.0,6.1,4.0,0.68,0.636
5.3,1.2,5.1,0.4,0.3,0.8,14.7,0.0,3.3,2.2,0.569,0.707
15.6,1.1,14.7,2.1,0.7,1.8,32.1,0.0,7.7,6.7,0.713,0.69
13.4,1.2,11.6,1.4,0.8,1.7,30.7,0.0,7.8,4.9,0.659,0.644
14.0,1.3,12.9,2.1,0.7,1.6,34.1,0.0,8.1,5.1,0.661,0.638
6.9,3.4,10.0,0.8,0.9,1.5,26.3,0.0,5.1,2.6,0.547,0.543
8.6,2.3,11.5,1.1,0.9,1.9,27.0,0.0,6.3,3.1,0.597,0.364
3.9,1.1,5.6,0.5,0.4,0.9,13.7,0.0,2.9,1.6,0.545,0.462
14.2,2.2,3.7,0.1,0.9,0.8,29.6,2.4,12.6,2.5,0.394,0.757
14.4,1.8,3.5,0.2,0.7,0.8,30.3,3.0,11.9,2.3,0.401,0.77
14.4,1.8,3.2,0.1,0.5,0.9,26.8,2.7,12.4,2.1,0.402,0.852
29.9,5.8,11.6,1.4,1.1,3.3,32.9,1.1,18.6,11.4,0.553,0.722
31.1,5.7,11.8,0.8,0.8,3.9,32.1,0.7,20.3,12.3,0.553,0.645
30.4,6.5,11.5,1.1,1.2,3.4,35.2,0.5,18.8,10.7,0.611,0.657
15.0,3.6,3.1,0.2,0.8,1.7,33.3,2.5,11.5,1.5,0.487,0.872
9.2,1.6,1.6,0.1,0.6,0.8,19.8,1.5,7.4,0.9,0.463,0.927
5.1,1.0,1.5,0.1,0.5,0.5,14.0,0.9,4.6,0.7,0.392,0.903
24.4,4.5,4.6,0.3,0.6,2.6,34.7,2.8,17.7,5.6,0.476,0.853
24.8,4.2,4.5,0.2,0.9,2.5,35.9,2.6,18.0,5.6,0.485,0.848
19.5,3.9,5.2,0.3,0.8,2.1,34.9,2.4,15.0,4.1,0.452,0.854
3.0,2.0,1.8,0.1,0.5,0.9,11.0,0.1,3.5,0.6,0.383,0.375
3.5,6.9,3.3,0.5,1.0,2.5,21.3,0.0,5.1,0.3,0.328,0.571
16.0,2.5,3.5,0.2,0.8,1.6,27.1,2.4,14.1,2.2,0.419,0.828
20.8,4.4,4.0,0.2,0.5,3.0,32.6,2.5,16.9,4.0,0.444,0.816
17.1,5.0,3.4,0.1,0.6,2.7,30.6,1.7,14.8,3.7,0.413,0.881
11.1,1.8,2.0,0.1,1.0,1.0,28.4,1.9,9.1,1.6,0.434,0.874
8.3,1.2,2.0,0.3,0.9,0.6,24.7,2.0,6.4,0.6,0.45,0.9
6.9,1.6,1.7,0.3,0.9,0.6,24.0,1.4,5.5,0.8,0.441,0.756
17.3,6.5,3.4,0.3,0.8,1.8,34.5,2.3,13.3,4.2,0.438,0.812
10.5,4.7,2.7,0.3,0.7,1.2,28.3,1.6,8.4,2.8,0.392,0.805
19.2,2.4,4.1,1.0,0.9,1.8,31.9,1.9,14.9,5.5,0.426,0.838
20.5,2.4,4.5,0.8,0.8,1.8,35.6,2.3,14.5,5.4,0.475,0.813
21.0,2.8,3.5,0.6,0.8,2.1,33.9,2.1,15.7,5.8,0.451,0.817
11.3,1.3,2.3,0.1,0.3,0.8,24.0,2.1,9.1,1.0,0.462,0.784
10.2,1.4,2.2,0.1,0.2,0.9,20.5,1.9,8.2,1.1,0.457,0.757
5.5,1.1,0.9,0.0,0.3,0.4,14.1,1.5,4.4,0.3,0.433,0.579
15.0,2.5,5.9,0.6,0.6,1.8,31.7,1.2,11.1,3.1,0.52,0.743
16.3,3.0,6.6,0.8,0.8,1.4,30.2,0.9,11.2,4.6,0.564,0.608
13.9,3.5,6.5,0.6,0.8,1.4,31.5,0.5,9.8,3.7,0.556,0.658
12.1,5.9,3.8,0.3,1.7,2.2,32.3,1.7,10.1,2.5,0.418,0.793
11.5,6.3,3.1,0.4,1.5,2.3,32.1,1.9,9.9,1.9,0.415,0.746
14.5,4.3,2.7,0.3,2.1,3.1,30.2,2.1,11.9,2.8,0.43,0.768
7.6,2.7,5.3,0.7,1.1,1.0,21.5,0.5,6.8,1.5,0.446,0.638
9.4,4.9,5.3,0.9,1.1,1.5,28.4,0.6,7.2,2.0,0.509,0.735
6.4,4.2,3.5,0.6,0.9,1.2,22.6,0.1,5.5,1.7,0.46,0.708
8.7,1.2,4.9,0.5,0.5,0.8,21.9,0.2,4.9,2.6,0.671,0.783
6.7,0.9,4.1,0.3,0.6,0.9,19.2,0.0,3.5,2.2,0.732,0.667
3.3,1.3,3.4,0.3,0.4,0.5,13.3,0.0,1.7,1.4,0.679,0.708
20.1,5.1,9.9,0.5,0.7,3.4,35.3,1.7,17.3,5.6,0.411,0.756
25.1,4.1,10.0,0.3,0.6,2.8,35.5,2.8,18.6,6.9,0.459,0.757
24.0,5.0,9.2,0.3,0.5,3.5,35.4,1.7,18.2,6.6,0.472,0.781
17.2,2.2,4.5,0.7,1.0,1.5,31.9,2.2,14.0,3.2,0.466,0.634
17.1,2.3,5.0,0.8,1.2,1.3,32.2,2.4,14.3,1.9,0.473,0.611
