PLAYER_ID,PLAYER_NAME,TEAM_NAME,TEAM_ABBREVIATION,SEASON,SEASON_ORDER,SCHOOL,COUNTRY,DRAFT_YEAR,HEIGHT
1626145,Tyus Jones,Memphis Grizzlies,MEM,2022-23,3,Duke,USA,2015,6-0
1626153,Delon Wright,Sacramento Kings,SAC,2020-21,1,Utah,USA,2015,6-5
1626153,Delon Wright,Atlanta Hawks,ATL,2021-22,2,Utah,USA,2015,6-5
1626153,Delon Wright,Washington Wizards,WAS,2022-23,3,Utah,USA,2015,6-5
1626156,D'Angelo Russell,Minnesota Timberwolves,MIN,2020-21,1,Ohio State,USA,2015,6-3
1626156,D'Angelo Russell,Minnesota Timberwolves,MIN,2021-22,2,Ohio State,USA,2015,6-3
1626156,D'Angelo Russell,Los Angeles Lakers,LAL,2022-23,3,Ohio State,USA,2015,6-3
1626157,Karl-Anthony Towns,Minnesota Timberwolves,MIN,2020-21,1,Kentucky,USA,2015,7-0
1626157,Karl-Anthony Towns,Minnesota Timberwolves,MIN,2021-22,2,Kentucky,USA,2015,7-0
1626157,Karl-Anthony Towns,Minnesota Timberwolves,MIN,2022-23,3,Kentucky,USA,2015,7-0
1626158,Richaun Holmes,Sacramento Kings,SAC,2020-21,1,Bowling Green,USA,2015,6-9
1626158,Richaun Holmes,Sacramento Kings,SAC,2021-22,2,Bowling Green,USA,2015,6-9
1626158,Richaun Holmes,Sacramento Kings,SAC,2022-23,3,Bowling Green,USA,2015,6-9
1626162,Kelly Oubre Jr.,Golden State Warriors,GSW,2020-21,1,Kansas,USA,2015,6-8
1626162,Kelly Oubre Jr.,Charlotte Hornets,CHA,2021-22,2,Kansas,USA,2015,6-8
1626162,Kelly Oubre Jr.,Charlotte Hornets,CHA,2022-23,3,Kansas,USA,2015,6-8
1626164,Devin Booker,Phoenix Suns,PHX,2020-21,1,Kentucky,USA,2015,6-5
1626164,Devin Booker,Phoenix Suns,PHX,2021-22,2,Kentucky,USA,2015,6-5
1626164,Devin Booker,Phoenix Suns,PHX,2022-23,3,Kentucky,USA,2015,6-5
1626166,Cameron Payne,Phoenix Suns,PHX,2020-21,1,Murray State,USA,2015,6-3
1626166,Cameron Payne,Phoenix Suns,PHX,2021-22,2,Murray State,USA,2015,6-3
